date,pollen_count,severity_level
1/2/2018,6,low
1/3/2018,6,low
1/4/2018,1,low
1/5/2018,2,low
1/8/2018,0,low
1/9/2018,1,low
1/10/2018,0,low
1/11/2018,0,low
1/12/2018,0,low
1/15/2018,1,low
1/16/2018,0,low
1/18/2018,2,low
1/19/2018,1,low
1/22/2018,3,low
1/23/2018,16,medium
1/24/2018,16,low
1/25/2018,4,low
1/26/2018,0,low
1/29/2018,0,low
1/30/2018,9,low
1/31/2018,2,low
2/1/2018,7,low
2/2/2018,15,medium
2/5/2018,1,low
2/6/2018,6,low
2/7/2018,42,medium
2/8/2018,3,low
2/9/2018,8,low
2/12/2018,1,low
2/13/2018,167,high
2/14/2018,134,high
2/15/2018,17,medium
2/16/2018,351,high
2/19/2018,20,medium
2/20/2018,50,medium
2/21/2018,148,high
2/22/2018,109,high
2/23/2018,142,high
2/26/2018,10,low
2/27/2018,36,medium
2/28/2018,577,high
3/1/2018,56,medium
3/2/2018,50,medium
3/5/2018,10,low
3/6/2018,81,medium
3/7/2018,111,high
3/8/2018,24,medium
3/9/2018,14,low
3/12/2018,5,low
3/13/2018,74,medium
3/14/2018,25,medium
3/15/2018,23,medium
3/16/2018,361,high
3/19/2018,438,high
3/20/2018,13,low
3/21/2018,574,high
3/22/2018,794,high
3/23/2018,430,high
3/24/2018,826,high
3/25/2018,2325,extreme
3/26/2018,1308,high
3/27/2018,801,high
3/28/2018,110,high
3/29/2018,1573,extreme
3/30/2018,2928,extreme
3/31/2018,3387,extreme
4/1/2018,1264,high
4/2/2018,1217,high
4/3/2018,993,high
4/4/2018,4667,extreme
4/5/2018,1254,high
4/6/2018,1495,high
4/7/2018,3429,extreme
4/8/2018,798,high
4/9/2018,722,high
4/10/2018,328,high
4/11/2018,5098,extreme
4/12/2018,5354,extreme
4/13/2018,4208,extreme
4/14/2018,3217,extreme
4/15/2018,2416,extreme
4/16/2018,1437,high
4/17/2018,1000,high
4/18/2018,1648,extreme
4/19/2018,3343,extreme
4/20/2018,2261,extreme
4/21/2018,390,high
4/22/2018,681,high
4/23/2018,30,medium
4/24/2018,24,medium
4/25/2018,265,high
4/26/2018,631,high
4/27/2018,74,medium
4/28/2018,547,high
4/29/2018,437,high
4/30/2018,625,high
5/1/2018,103,medium
5/2/2018,88,medium
5/3/2018,108,high
5/4/2018,134,high
5/7/2018,668,high
5/8/2018,401,high
5/9/2018,104,medium
5/10/2018,140,high
5/11/2018,242,high
5/14/2018,108,high
5/15/2018,124,high
5/16/2018,41,medium
5/17/2018,14,low
5/18/2018,4,low
5/21/2018,46,medium
5/22/2018,14,low
5/23/2018,10,medium
5/24/2018,24,medium
5/25/2018,19,medium
5/29/2018,10,low
5/30/2018,19,medium
5/31/2018,15,low
6/1/2018,14,
6/4/2018,37,
6/5/2018,35,
6/6/2018,32,
6/7/2018,20,
6/8/2018,29,
6/11/2018,31,
6/12/2018,32,
6/13/2018,31,
6/14/2018,6,
6/15/2018,20,
6/18/2018,21,
6/19/2018,13,
6/20/2018,18,
6/21/2018,12,
6/22/2018,13,
6/25/2018,30,
6/26/2018,9,
6/27/2018,10,
6/28/2018,32,
6/29/2018,7,
7/2/2018,10,low
7/3/2018,4,low
7/5/2018,25,medium
7/6/2018,3,low
7/9/2018,20,medium
7/10/2018,6,low
7/11/2018,10,low
7/12/2018,12,low
7/13/2018,9,low
7/16/2018,11,low
7/17/2018,9,low
7/18/2018,10,low
7/19/2018,11,low
7/20/2018,7,low
7/23/2018,9,low
7/24/2018,5,low
7/25/2018,5,low
7/26/2018,6,low
7/27/2018,13,low
7/30/2018,8,low
7/31/2018,5,low
8/1/2018,5,low
8/2/2018,0,low
8/3/2018,6,low
8/6/2018,8,low
8/7/2018,7,low
8/8/2018,10,low
8/9/2018,8,low
8/10/2018,16,low
8/13/2018,17,low
8/14/2018,13,low
8/15/2018,8,low
8/16/2018,16,medium
8/17/2018,12,low
8/20/2018,12,low
8/21/2018,6,low
8/22/2018,12,low
8/23/2018,22,medium
8/24/2018,17,medium
8/27/2018,10,low
8/28/2018,3,low
8/29/2018,18,low
8/30/2018,51,medium
8/31/2018,126,high
9/4/2018,26,
9/5/2018,24,
9/6/2018,17,
9/7/2018,20,
9/10/2018,20,
9/11/2018,17,
9/12/2018,18,
9/13/2018,19,
9/14/2018,17,
9/17/2018,15,
9/18/2018,35,
9/19/2018,26,
9/20/2018,32,
9/21/2018,17,
9/24/2018,44,
9/25/2018,12,
9/26/2018,11,
9/27/2018,6,
9/28/2018,6,
10/1/2018,14,low
10/2/2018,43,medium
10/3/2018,25,medium
10/4/2018,86,medium
10/5/2018,64,medium
10/8/2018,10,low
10/9/2018,24,medium
10/10/2018,17,low
10/11/2018,6,low
10/12/2018,15,low
10/15/2018,22,low
10/16/2018,10,low
10/17/2018,2,low
10/18/2018,3,low
10/19/2018,9,low
10/22/2018,6,low
10/23/2018,5,low
10/24/2018,5,low
10/25/2018,11,low
10/26/2018,9,low
10/29/2018,11,low
10/30/2018,3,low
10/31/2018,5,low
11/1/2018,6,low
11/2/2018,2,low
11/5/2018,7,low
11/6/2018,0,low
11/7/2018,2,low
11/8/2018,2,low
11/9/2018,7,low
11/12/2018,2,low
11/13/2018,1,low
11/14/2018,0,low
11/15/2018,1,low
11/16/2018,0,low
11/19/2018,2,low
11/20/2018,2,low
11/21/2018,1,low
11/26/2018,3,low
11/27/2018,6,low
11/28/2018,3,low
11/29/2018,4,low
11/30/2018,2,low
12/3/2018,10,low
12/4/2018,4,low
12/5/2018,2,low
12/6/2018,4,low
12/7/2018,2,low
12/10/2018,2,low
12/11/2018,6,low
12/12/2018,2,low
12/13/2018,2,low
12/14/2018,2,low
12/17/2018,1,low
12/18/2018,0,low
12/19/2018,1,low
12/20/2018,1,low
12/21/2018,0,low
12/26/2018,11,low
12/27/2018,1,low
12/28/2018,2,low
12/31/2018,2,low
